Address,flat_type,floor_area_list,resale_price_list
124 Lor 1 Toa Payoh S(310124),3-Room,67.0 sqm,"$430,000"
402 Bedok Nth Ave 3 S(460402),3-Room,67.0 sqm,"$435,000"
416 Bt Batok West Ave 4 S(650416),3-Room,73.0 sqm,"$438,000"
345 Bt Batok St 34 S(650345),3-Room,73.0 sqm,"$438,000"
519 Jurong West St 52 S(640519),3-Room,74.0 sqm,"$438,000"
22 Telok Blangah Cres S(090022),3-Room,70.0 sqm,"$438,888"
85C Lor 4 Toa Payoh S(313085),3-Room,68.0 sqm,"$438,888"
1 Dover Rd S(130001),3-Room,73.0 sqm,"$440,000"
173 Lor 1 Toa Payoh S(310173),3-Room,77.0 sqm,"$440,000"
206 Petir Rd S(670206),3-Room,73.0 sqm,"$445,000"
658 Hougang Ave 8 S(530658),3-Room,74.0 sqm,"$445,000"
223 Pending Rd S(670223),3-Room,73.0 sqm,"$448,000"
55 Chai Chee Dr S(460055),3-Room,76.0 sqm,"$448,000"
801A Keat Hong Cl S(681801),3-Room,67.0 sqm,"$450,000"
424A Yishun Ave 11 S(761424),3-Room,67.0 sqm,"$450,000"
504 Bt Batok St 52 S(650504),3-Room,69.0 sqm,"$450,000"
211 Yishun St 21 S(760211),3-Room,67.0 sqm,"$450,000"
127 Yishun St 11 S(760127),3-Room,67.0 sqm,"$450,000"
138 Bt Batok West Ave 6 S(650138),3-Room,68.0 sqm,"$450,000"
319 Ang Mo Kio Ave 1 S(560319),3-Room,73.0 sqm,"$450,000"
44 Telok Blangah Dr S(100044),3-Room,65.0 sqm,"$450,000"
1 Dover Rd S(130001),3-Room,65.0 sqm,"$450,000"
129 Bt Merah View S(150129),3-Room,65.0 sqm,"$450,000"
104 Henderson Cres S(150104),4-Room,74.0 sqm,"$450,000"
326 Serangoon Ave 3 S(550326),3-Room,64.0 sqm,"$455,000"
202 Tampines St 21 S(520202),3-Room,75.0 sqm,"$458,888"
44 Owen Rd S(210044),3-Room,67.0 sqm,"$460,000"
12 Holland Ave S(272012),3-Room,65.0 sqm,"$460,000"
20 Marine Ter S(440020),3-Room,76.0 sqm,"$460,000"
3 St. George's Rd S(320003),3-Room,70.0 sqm,"$465,000"
516 Jurong West St 52 S(640516),3-Room,74.0 sqm,"$468,000"
284 Tampines St 22 S(520284),3-Room,74.0 sqm,"$468,000"
3 Ghim Moh Rd S(270003),3-Room,65.0 sqm,"$470,000"
129 Bt Merah View S(150129),3-Room,65.0 sqm,"$470,000"
7 Bedok Sth Ave 2 S(460007),4-Room,82.0 sqm,"$478,000"
784C Woodlands Rise S(733784),3-Room,68.0 sqm,"$480,000"
811B Choa Chu Kang Ave 7 S(682811),3-Room,68.0 sqm,"$480,000"
136 Bt Batok West Ave 6 S(650136),3-Room,68.0 sqm,"$480,000"
217 Serangoon Ave 4 S(550217),3-Room,67.0 sqm,"$480,000"
607 Ang Mo Kio Ave 4 S(560607),3-Room,82.0 sqm,"$480,000"
3 Beach Rd S(190003),3-Room,68.0 sqm,"$480,000"
435 Clementi Ave 3 S(120435),3-Room,67.0 sqm,"$480,000"
101 Whampoa Dr S(323101),4-Room,91.0 sqm,"$480,000"
301 Ubi Ave 1 S(400301),3-Room,64.0 sqm,"$482,700"
260 Yishun St 22 S(760260),4-Room,84.0 sqm,"$485,000"
65 Marine Dr S(440065),3-Room,65.0 sqm,"$486,000"
704 Yishun Ave 5 S(760704),3-Room,82.0 sqm,"$488,000"
9 Selegie Rd S(180009),3-Room,56.0 sqm,"$488,000"
337 Woodlands Ave 1 S(730337),4-Room,83.0 sqm,"$488,000"
127 Pending Rd S(670127),3-Room,64.0 sqm,"$490,000"
19 Marine Ter S(440019),3-Room,65.0 sqm,"$490,000"
412 Saujana Rd S(670412),4-Room,84.0 sqm,"$490,000"
903 Jurong West St 91 S(640903),4-Room,104.0 sqm,"$494,000"
6 Holland Cl S(271006),3-Room,65.0 sqm,"$495,000"
902 Jurong West St 91 S(640902),4-Room,103.0 sqm,"$495,000"
376 Clementi Ave 4 S(120376),3-Room,82.0 sqm,"$499,888"
265 Yishun St 22 S(760265),4-Room,84.0 sqm,"$499,999"
267 Tampines St 21 S(520267),3-Room,75.0 sqm,"$500,000"
119 Ang Mo Kio Ave 3 S(560119),3-Room,82.0 sqm,"$500,000"
1 Ghim Moh Rd S(270001),3-Room,65.0 sqm,"$500,000"
487 Jurong West Ave 1 S(640487),4-Room,103.0 sqm,"$500,000"
509 West Coast Dr S(120509),4-Room,83.0 sqm,"$500,000"
99 Whampoa Dr S(320099),4-Room,91.0 sqm,"$500,000"
407 Pandan Gdns S(600407),5-Room,104.0 sqm,"$500,000"
673A Jurong West St 65 S(641673),4-Room,86.0 sqm,"$505,000"
172 Woodlands St 13 S(730172),4-Room,91.0 sqm,"$508,000"
718 Jurong West St 71 S(640718),4-Room,103.0 sqm,"$515,000"
206 Jurong East St 21 S(600206),4-Room,94.0 sqm,"$515,000"
123 Mcnair Rd S(320123),3-Room,64.0 sqm,"$520,000"
134 Potong Pasir Ave 3 S(350134),3-Room,74.0 sqm,"$520,000"
151 Ang Mo Kio Ave 5 S(560151),3-Room,68.0 sqm,"$520,000"
235 Ang Mo Kio Ave 3 S(560235),3-Room,82.0 sqm,"$520,000"
4 Tg Pagar Plaza S(081004),3-Room,59.0 sqm,"$520,000"
30 Marine Cres S(440030),3-Room,65.0 sqm,"$520,000"
602 Hougang Ave 4 S(530602),4-Room,84.0 sqm,"$520,000"
123 Bt Batok Ctrl S(650123),4-Room,91.0 sqm,"$520,000"
168A Queensway S(140168),4-Room,84.0 sqm,"$520,000"
104C Canberra St S(753104),3-Room,67.0 sqm,"$525,000"
155 Yung Loh Rd S(610155),4-Room,106.0 sqm,"$525,000"
201 Toa Payoh Nth S(310201),4-Room,87.0 sqm,"$525,000"
513A Yishun St 51 S(761513),3-Room,68.0 sqm,"$528,888"
341 Clementi Ave 5 S(120341),3-Room,82.0 sqm,"$530,000"
469A Admiralty Dr S(751469),4-Room,102.0 sqm,"$530,000"
301 Ubi Ave 1 S(400301),4-Room,83.0 sqm,"$530,000"
624A Woodlands Dr 52 S(731624),4-Room,100.0 sqm,"$530,000"
427 Choa Chu Kang Ave 4 S(680427),4-Room,104.0 sqm,"$530,000"
425 Yishun Ave 11 S(760425),4-Room,104.0 sqm,"$530,000"
5 Tg Pagar Plaza S(081005),3-Room,59.0 sqm,"$535,000"
26 Bendemeer Rd S(330026),3-Room,71.0 sqm,"$535,000"
601 Hougang Ave 4 S(530601),4-Room,84.0 sqm,"$535,000"
148 Yishun St 11 S(760148),4-Room,95.0 sqm,"$535,000"
121 Paya Lebar Way S(381121),4-Room,91.0 sqm,"$535,000"
107 Bt Purmei Rd S(090107),3-Room,67.0 sqm,"$538,000"
226 Choa Chu Kang Ctrl S(680226),4-Room,105.0 sqm,"$538,000"
347 Ubi Ave 1 S(400347),4-Room,84.0 sqm,"$538,000"
35 Marine Cres S(440035),3-Room,59.0 sqm,"$538,888"
208A Punggol Pl S(821208),3-Room,67.0 sqm,"$540,000"
541 Choa Chu Kang St 52 S(680541),4-Room,104.0 sqm,"$540,000"
332 Jurong East Ave 1 S(600332),4-Room,106.0 sqm,"$540,000"
366B Sembawang Cres S(752366),3-Room,68.0 sqm,"$545,000"
721 Yishun St 71 S(760721),4-Room,104.0 sqm,"$549,000"
2 Tg Pagar Plaza S(082002),3-Room,59.0 sqm,"$550,000"
178 Toa Payoh Ctrl S(310178),3-Room,67.0 sqm,"$550,000"
126C Edgedale Plains S(823126),4-Room,85.0 sqm,"$550,000"
651B Jurong West St 61 S(642651),4-Room,90.0 sqm,"$550,000"
473 Sembawang Dr S(750473),4-Room,90.0 sqm,"$550,000"
204 Petir Rd S(670204),4-Room,106.0 sqm,"$550,000"
386 Yishun Ring Rd S(760386),4-Room,104.0 sqm,"$550,000"
